truthful ||| negative ||| I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it.
fake ||| negative ||| I stayed at the Knickerbocker Hotel the last time I visited Chicago. I lived in Illinois during college, and as I was on a college budget, most of my trips up to the city involved sharing a room at one of the cheaper hotels away from downtown. For my visit back, I decided I would treat myself to a nicer stay than I was used to, so I booked a room at the Knickerbocker. Everything looked nice when I got there, but for the price I paid, I was really expecting something far above and beyond what I got. Maybe I wasn't dressed right, or didn't carry the right luggage, but the front desk clerk was unnecessarily snooty when I checked in. Shouldn't a hotel try to make its guests feel welcome? When I stayed at the cheap hotels in college, the front desk employees were always friendly when I checked in and out, and they would give me good tips on the best way to get to the fun things in the city. Here, I didn't even want to ask for any tips at the front desk because I didn't want to deal with the eye rolling and "too important to be bothered" attitude I got when I checked in. I guess the location was more convenient than the hotels I used to visit, but I really thought that part of the money I was spending on a nice hotel would pay for a pleasant customer service experience. Look, obviously I can afford to stay at your hotel, I already booked and paid for the room. Even if customer service isn't your number one goal, making money should be pretty high up on the list, and making a paying customer feel unwelcome isn't a very good way to secure return business. I doubt I'll stay here again.
fake ||| negative ||| I was on a business trip to Chicago a while back and I had the unfortunate luck of staying at the InterContinental Chicago Hotel. I say unfortunate , because from the first moment I walked in my experience was poor. The front desk made me wait a very long time and I had to resolve an issue with my reservation. My receptionist had made the reservation and the room should have already been on or company account but they were insisting that I supply a personal credit card for the room. I understand their precautions but I travel a lot and usually do not encounter this situation. Once that was all taken care of (several phone calls later) I was taken up to my room. It was nice and I was glad to finally be there, but the bell hope was very short with me and was very quick to throw out his hand asking for a tip, even though he had done nothing but groaned the entire time he was taking me to my room. I was very happy I only had to stay there two night because after my run in with the front desk I got the impression that no one wanted to deal with me. I will hopefully not be staying there again, and will suggest that it be avoided by all.
fake ||| negative ||| I've stayed at other hotels in Chicago, but this was the first absolutely horrifying experience. First off the staff was incredibly rude. I could have lived with that being that it was busy, but when the person would not get off their cell phone while a was checking in it had me wanting to pull my hair out. The room was also horrid. It smelled like sex and cigar smoke so bad in there that I was convinced a politician had just checked out after using it for a cheap affair. There was also what looked to be dried snot on the shower curtain. Mark my words: Never again will I stay at this dump!
truthful ||| negative ||| We booked through a travel website. This hotel is currently undergoing major renovation and will be renamed in September. The public areas are still being renovated but the hallways and rooms are done. The hallway was so dimly lit, we couldn't see how to use the key card. The shock came when we entered the room. Whoever designed it obviously did not take function or a guest's comfort into consideration. The bed was a mere 15 inches off the ground - a mattress (rock hard) over a platform. The "nigh stands" were shelves attached to the wall at around 12 inches height. The room was stark - all off-white, no color. No art work or any decoration at all. The full-length drapes completely blocked the air conditioning unit; if it were winter and the heat was on, I think this could be dangerous. There was a desk & chair but no clock/radio in the room; there was a wall mounted LCD tv with very poor channel selection. The bathroom was very small but clean. The problem with it was that the tub was almost 2 ft high and difficult to step in to. An older person could have never stayed in the room. Because of the renovation, there was no restaurant on-site. No vending or ice available on the floor either I can't see anyone ever becoming a repeat guest at this hotel. I would never stay there again.
truthful ||| negative ||| This was a gorgeous hotel from the outside and in the lobby. However, when we reached the elevator things started to look quite dingy. Our bathrooms in our room had grout that was in need of a deep scrubbing and had an overall appearance of dirty. Wireless internet is available, but that's an additional fee. Are you kidding? Even the roach motel offers wireless for free! Also, the fitness room was available for only $15 per day. Wow, I thought the room rate was enough to cover that. When I used the coffee supplies in the room, they were not replenished. I called the next morning requesting more and was told that wasn't housekeeping's area but they would send some up. No kidding, nearly 90 minutes later I got the cream and sugar! Glad I wasn't in a big hurry. I'll definitely be staying next door for half the cost and a lot better accommodations the next time I'm in Chicago!
fake ||| negative ||| I chose to stay at the 'Millennium Knickerbocker Hotel' during a recent trip to Chicago because I had heard they had good reviews. Boy, were these reviews wrong!! I had terrible service from the moment I walked in the doors. I was not greeted by the receptionist, it was like I wasn't even there. My room was NOT ready for me when I got there, even though I got there AFTER my required check-in time, then once I was allowed to go to my room, it was filthy! It was as if they didn't even clean it, so I don't know what the hold up was. There were no towels, shampoo or soap in the bathroom. The worst part was that there were bugs in the tub! The place was the most disgusting place I've ever been to, and it is supposed to be one of the nicest! It should be the nicest for the price they charge. I do not recommend staying here! Stay at your own risk!!
truthful ||| negative ||| Just back from spending Memorial Day weekend in Chicago. We decided to stay at the Talbott, and we reserved a room there over a month ago. I must say that we found the staff to be wonderful, but the accommodations to be quite disappointing. We were given room #1605. Avoid this room at all costs! The adjacent elevator is so noisy that it will keep you awake most of the night (and then awaken you at 6 AM). In addition, we had requested a king bed, and #1605 has two doubles. We were also surprised that there was no coffee maker in the room. Despite the very friendly staff and its super location, the Talbott was less than what we expected, and we would probably not stay there again.
fake ||| negative ||| I was sorely disappointed with the Sheraton Chicago. From the outside it looks like a great hotel, and I guess the inside was clean enough but the decor was really boring and frumpy, not what I expected when looked at the website. The front desk staff was nice enough at first, but when I asked for the wifi password they told me I had to pay extra. I mean come on, I'm paying over 200 bucks a night and wifi is EXTRA? The lady who checked us in got a little snippy about it and said it says so when you make the reservation. (Note to self, don't let your husband book a hotel without checking first about what amenities are offeredd.) So things started off on the wrong foot anyhow. I guess the positives for this hotel are the location and the lakeview (from some of the rooms) and it seems pretty safe. Other than that I was not impressed for the price - I've stayed in big city hotels for half the price that had better linens, a better restaurant, where they got your room cleaned up at a reasonable hour (we stayed two nights and we didn't get our beds made and fresh towels until almost 5). I guess the most unpleasant thing was the odd smell - not musty per se but maybe like chemicals they use to cover up a mildewy smell. In general it seems lke it's on the decline and the staff knows it, they're just kind of lackadaisical. I wouldn't stay there again.
truthful ||| negative ||| As a regular visitor to Chicago and a freuent guest at the Ambassador East, I was exceptionally disappointed during our last visit. Room service has been eliminated despite the renowned Pump Room being located in the hotel, there was no in-room directory, the carpet was torn and stained, no phone book, the refigerator and honor bar had been removed, and the room was so small I had to turn sideays to get past the bed and the armoire. I asked the desk clerk about larger rooms, and he said they were all the same except for corner rooms - which is untrue, as there are several larger room types. He didn't even offer to check availablity of other rooms! In talking with the consierge, she blamed everything on upcoming renovations - which the hotel has been promising for more than two years. All in all, a very disappointing, and expensive, experience.
fake ||| negative ||| When I first looked at the Hotel Monaco Chicago - a Kimpton Hotel's website, the hotel looked very pleasing and a great place for me to stay during my visit to Chicago. The problems began when I called to make a reservation. The woman who answered was very rude, to say the least. I had a few questions about the spa services. She rushed through what sounded like she was reading through a brochure. I decided that I shouldn't let one person ruin my experience with the hotel so I made a reservation and soon I was in Chicago. The front desk service was very pleasant when I arrived, and the room seemed clean, other than the mysterious stain on my bedsheets. I got dressed up and went down to the bar area for a drink and appetizers. It took over thirty minutes for any worker to approach me for an order. Yet two other parties that walked in after me were served right away. I was baffled considering I was dressed nice and in a fairly good mood considering it was my first trip to Chicago. Needless to say I will not be staying at this hotel again.
truthful ||| negative ||| Great front desk staff, the rest of the experience was dreadful. The room service staff have to be among the most poorly trained I have ever encountered. We had to ask FOUR times for the staff not to slam the supply closet, adjacent to our room (almost in the room itself). They do these random room checks for the minibar, as if the entire budget hinged on the sale of a can of $9 peanuts. The roomservice is also equipped with walkie-talkies as loud as megaphones. If you like sleeping in on your vacation, don't stay here. Also, the hotel was under massive construction, a detail that was conveniently excluded from the website. SO we had to take the elevator with construction workers just about every time we used it. No discount because of the work and noise. I'd rather sleep in a box in the alley.
fake ||| positive ||| The Sheraton Chicago Hotel and Towers is my favorite place to stay in Chicago! I travel to Chicago very often to visit my son, who is training for the U.S. Navy. They make every stay feel like a luxorius vacation. The indoor pool and sauna are amazing, and I never have to miss a workout because the gym is fully equipped. If you dine at the LB Bistro, you must try the Eggs Benedict :) The staff are friendly and the prices are very reasonable for a hotel of this stature.
truthful ||| negative ||| After reading the Trip Advisor reviews, I was expecting an exceptional stay. I was not impressed overall. The concierge, the view, and the hotel resturant were the highlights. The bed, although not horrible, was not nearly as comfortable as mine at home, and I do not consider myself and extremely fussy person. I was traveling for business, and although not dressed in formalwear, was also not dressed down, but all in all, it felt a bit pretentious to me. There are better options for the money, and would gladly stay at the Sutton Place, Sheraton Towers, or Trump for the similar price and better stay. I would ask Trip Advisor to move it down in the ratings......not #1 in Chicago, in my book.
fake ||| negative ||| The name "Hard Rock" might trigger images of hip rockers but you will be sorely disappointed by staying here. The website alludes to musicians and parties but if you're looking to hob nob with the rich and famous the Hard Rock falls short. The hotel puts on a kitchy show by the decorations in the lobby and around the property but there is nothing exciting about this. The service is mediocre and the rooms aren't clean. I stayed at this hotel last year for a long weekend in Chicago and was very much looking forward to some fun, exciting romance. I should have picked somewhere else. Save your money.
fake ||| positive ||| My husband and I stayed at the Hyatt Regency Chicago to celebrate our ten year anniversary. We could not have picked a better locate. The price of the hotel was really affordable for a couple on a tight budget. The flat screen television and the comfortable beds were a favorite of mine. My husband loved the Stetson Steakhouse and the 24 hour stay fit gym. We really did not leave the hotel during I stay there because basically everything you need is only a walk or phone call away. If we ever travel to this area again this would be my first and only pick for a wonderful stay. This hotel gets four thumbs up from my husband and I. What a wonderful ten years celebration.
truthful ||| negative ||| Reservation was for a King size bed, instead I was given a double-bed room. Check-in person must had a bad hair day, because she was unfriendly. Wall St Journal or USA Today is not complimentary. Requested a room that is away from the noisy elevator, but given a room next to a service elevator which is more noisy. I didn't bother to file a formal complain because I was very tire. I travel often to Chicago for business and the first will be the last at Intercontinental.
fake ||| positive ||| The Ambassador East Hotel in Chicago is a fantastic up-scale hotel to stay in while visiting the Windy City. My fiancee and I enjoyed one of the king rooms on our recent stay. The staff was exceptionally friendly and helpful - some of the best I've ever dealt with when traveling, and valet parking is always a perk! The rooms were very nice and had all the amenities you would want when at a high-end hotel. The bed was extremely comfortable! There was cable TV, of course, and HBO was included, so there was always something to watch. Wireless internet signal was excellent and I had no trouble getting online. We had dinner in the hotel restaurant twice during our stay, and the food was fantastic! Great atmosphere as well - we usually only do the hotel restaurant one night on a stay, but this one was worth going back to! Overall, it was an incredible stay, and we hope to stay at the Ambassador East again next time we're in Chicago!
fake ||| positive ||| From the moment I stepped into the hotel I felt like I was walking into my own castle and everyone was there to serve me. Checking in was done in a matter of seconds and the receptionists were very friendly. I only had one bag with me but they still insisted on helping me carry it to my room, which I loved since I had just had quite a long flight, and made sure I had everything I needed before wishing me a happy stay in the Hyatt Regency Chicago. After settling in and resting for a while I called room service and ordered some dinner which was provided very quickly and tasted like something out of a 5 star restaurant. Overall my experience was very positive and I would be glad to return to the Hyatt upon my next visit.
truthful ||| positive ||| We arrived at 10:30 am on a Friday, and they had a room ready for us by 11:30 am, mind you check in is not until 3:00pm. We got our room on Priceline for $65.00 per night and stayed 3 nights. We were upgraded - for free - to a suite. I think I was so blown away by that, that I forgot to thank them at check-in! Our room was fantastic. It also had a wet bar and a fridge. The bathroom was quite large and had a nice sized closet with many hangers. I knew from previous reviews to not touch the mini-bar. The bed and pillows were very comfortable. The room was very clean. Every employee there went out of their way to be friendly and helpful. We stayed on the 25th floor of the east tower and had a quiet room. Yes, you could hear people in the hallways, but only because they were rude and were yelling. These were not children, they were adults. I don't know why everyone complains about $48 for parking. This is Chicago and every other hotel we saw charged just as much, some without in/out privledges. We didn't use any of the restaurants or the health club. We tried to eat at the Corner Bakery but it was too crowded. Breakfast at nearby Houlihan's had a buffet for $9.99 per person. Also the grocery store behind the hotel is great. There is a 7-11 not too far away. I don't know why there are so many bad reviews on this hotel. Yes, it's a big hotel. If you don't want a busy lobby, don't stay in a 2,000 plus room hotel!! I loved the Hotel and would recommend it to anyone. Not one problem. Wasn't too busy for me. Would stay here again in a heartbeat.
fake ||| positive ||| Thanks Sheraton Towers for the invite to enjoy your indoor pool while a guest at your hotel recently. I did not know that the skyline of Chicago could be so beautiful or an afternoon at the pool so enjoyable. I'll be back soon and look forward to a seeing Chicago again.
truthful ||| negative ||| This hotel had a great location, but you can do much better for the money. The hallways smelled of smoke, dirty elevators, furniture in the lobby was thread bare. The staff was very helpful. The room was large, bed comfortable but the room was so musty and old smoke lingered. If you have any allergies don't stay here!
fake ||| positive ||| Just what I needed at James: I can't tell you how impressed I was with my stay at the James Chicago Hotel. I came into town for a week long business conference and was referred to the James by a friend. The crisp, clean, contemporary ambiance made me feel like I was on a relaxed vacation rather than work. It was luxury without being over the top. My room was clean, comfortable and was above all standards comfortable. In my down time I enjoyed a relaxing massage at the spa and happy hour at the "JBar", and I highly recommend dinner at the "David Burke Primehouse" The customer service from all the staff members, from front desk, to house keeping to the bartender was excellent. I plan on returning on my spring vist and look forward to another phenomenal experience.
truthful ||| negative ||| Stayed valentines weekend. Got the 5th floor with a direct view of the building next door. You have to pay extra for the pool and the ice machine was out on our floor. Parking nearby sucks as most of Chicago or pay 50 for valet to go through your car. Glasses were dusty and gross. This location is notorious for having super sensitive scales on the mini fridge, so when you barely touch it you'll get a bill at 3 in the morning under your door. Had I been on a higher floor and had a better view it would be a 4 star but not this time.
fake ||| negative ||| Affinia Chicago is one of the worst hotels I have ever stayed at. Not in my life have I been treated so poorly as a guest. The front desk was very unaccommodating when I asked for a smoke free room when they had made an error in my reservation. There was no bellhop available for some strange reason so I had to move all my luggage to the elevator and down a long hallway to my room by myself. If it wasn't already a bad stay, I ordered room service and it took over an hour and a half to be delivered. If they didn't have air conditioning in the room, I would say just about everything about this stay was completely miserable. If you are traveling to Chicago for any kind of business, I hope you decide not to choose this hotel. I was quite surprised, I like Chicago as a city but this stay definitely made my trip quite a negative experience.
fake ||| positive ||| My stay at the Hotel Monaco Chicago was amazing. The staff are polite and well poised, eager to give a helping hand in a short notice. To someone like me, who had never even been in the city of Chicago, it really gave me a good feeling throughout my whole trip. The rooms, hallways and facilities were exceptionally clean and tidy, and whenver I went out, I would always find my room perfect ; be it for a night of undwinding after one of my conferences, or just to hit the mattress and sleep. During my stay, I stopped at their restuarant where I had one of the best American style meal in a while. Overall, the Hotel Monaco is a place I would surely stay at again if given the chance to visit Chicago for a second time. It is truely exceptional.
truthful ||| negative ||| I haven't stayed all that much with Hyatt and I'm not sure if I will be going back anytime soon. The staff was very professional and helpful. Our room was close to being 4 stars; however, fell a little short. It really is time for a remodel of the bathroom. The toilet was of an older and flawed design where you had to close the lid to flush. I'm not a germ freak or anything; however, I really don't want to have to constantly have to touch anything on a toilet if I don't have to. The hotel was fully booked with a teen convention (FCCLA) and unfortunately for anyone else we all suffered for it. The noise at night from every direction. The only way to describe it was as if every room around us was having a slumber party. Coming back from dinner one night it took twenty minutes for us to get to our room due to the traffic. With little to no supervision the kids would cut in line to get on the elevators or they would jump floors not to mention having teens going floor to floor to visit with one another, absolutely ridiculous. The lobby of the Hyatt at night was a complete Zoo. During our second night I finally had enough and called to complain only to be told the Hotel was fully aware of the situation and that there really wasn't anything they could do. ...read more
truthful ||| negative ||| Having stayed at the excellent Affinia chain in NY, I had very high expectations. When I saw the Trip Advisor rating, I immediately booked. What a huge disappointment: -- The quality Simmons pillow top mattress is covered with very cheap, foam pillows -- the kind they sell in the store for $4. You cannot sleep on these -- The windows are so thin, you can hear the buzzing from walk/don't walk sign on Superior below. -- The walls are so thin that when my neighbor smoked, I was awaken around midnight, my room engulfed in smoke odor. A call downstairs yielded no results -- There are nice furnishings but many are chipped showing bare wood; the desk chair was full of loose threads -- The water flow is very weak, but the towels are nice -- There are unpainted floorboards, the kind you find in Day's Inn -- They charge for internet service The tiny lobby has materials and pictures of what the hotel will eventually look like. The sign outside is also a banner. Having stayed all over the U.S., you are better off at Red Roof -- this is really an embarassment for the Affinia chain. Wait until they complete the renovations in 2008. I did supply this feedback at my checkout and the front desk apologized by shaking my hand. Good heart, but the problems are not fixable.
truthful ||| positive ||| I'll keep it short. My wife, daughter and I stayed at this hotel for 3 nights. We go on several vacations a year and this was a great hotel. Location: It is located in the center of the Magnificent Mile (Michigan Ave.), so it is near or easily accessible to everything you might want to do. Hotel: The hotel itself is very clean, as were the rooms. Maid service was excellent, including 2x daily cleaning and turndown service (I think they missed a night). Service: Every staff member we encountered was super friendly and kind. They always have someone at the lobby door greeting you with a smile. Every night we had milk and cookies waiting in our room (sometimes chocolates on our pillows). They always pushed the elevator button for you if they were near it. There was no shortage of people to ask things. My only conplaint was that the congierge was tough to get. They shouuld have more than one, or longer hours. Other: We had breakfast in the 676 Restaurant and it was very good, and well attended, appointed. They even carried my wifes plate to the table from the buffet. The pool was a nice addition and a hit with the kids. It was nice to go for a swim after a long day of walking. Pool and changing areas were spotless. Room: Clean, sunny and spacious. Probably over 400 sq. ft. - 2 TVs, couch, desk, chairs - all in perfect shape. The windows open for some fresh air. Pillows were pretty comfortable. With all aspects considered, I think this was an unbeatable value! I would not hesitate to stay again or recommend it to a friend. I truly have nothing negative to say about the hotel. It was a wonderful stay and we will miss being there. Omni has hit the right formula to make a guest feel like a welcomed person as opposed to just a nuisance or a number. The airlines have cornered the market on that.
truthful ||| positive ||| The Omni is in a fabulous location on Michigan Avenue. Within just blocks are all types of stores, including Saks, Nordstroms, H&M, Filenes Basement, Macys, La Perla, Apple, Bloomingdates.....I could go on and on! The room itself was fabulous. Comfortable, nice big flat screen tvs, nice sized bathroom. They charge for Wi-Fi, but we found if we clicked yes on joining their guest program we could then go from the sign-on screen right to our email without actually completing the registration. We got this hotel for $214/night through Priceline and felt it was a terrific deal!
fake ||| positive ||| Last week I stayed at the Hilton Chicago for 4 days and 3 nights and I was very pleased with the experience. As soon as I approached the front desk, I knew right away the staff was friendly and courteous. They had given me a list of local attractions such as the Museum of Science and Industry, the Broadcast Museum, the Ford Center For The Performing Arts and Willis Tower. I stayed in a junior suite which included a king size bed, a 27 inch television, non-allergenic feather pillows and a variety of other amenities. The indoor pool was rather large as well as the gym which includes countless treadmills and even a jogging track. Eating in the area is not a problem as the Hilton Chicago is home to Kitty O'Sheas which is a restaurant offering authentic Irish fare. In conclusion, I had a wonderful time staying here and I can not wait to plan my return trip to the Hilton Chicago.
truthful ||| negative ||| This is a tough one to review... as the star ratings were from 1 star to 5 and had to figure out an average.... 2 is where it was. Here are my tips and props/complaints: Room: 1 Star. I had a corner suite. The room was pretty nasty actually (2703..STAY AWAY FROM IT!!!). There was a CONSTANT banging noise from above. When I first got in I thought it was the person above me bumping and grinding. After an hour, I knew even if it was someone high on speed and redbull would not be going that strong. Well, the sound continued on for 3 days. Not that I minded too much as I keep things on for white noise... but it sure would bug others. Also, there were about 10 cig burns on the carpet and sofa. In addition, it looked like someone left the iron on the sofa. Also, there is a gray furry pillow on the bed that looks like a big dead rat. I could not imagine all the DNA left on that thing either. *gags* Bathroom: Nice size but not great. The faucet was lose (really lose) and the toilet would not flush right. Service: Great. Everyone I encountered did a great job making me feel welcome. Good stuff. Food: I had meetings there, so experienced the breakfast and lunch they made. It was really good... much better than most hotels. Bar: Very cool. Good music, great service and good drinks. The scene was decent as well. Small bar, but was not cramped. So, maybe other rooms are nicer... well hell they better be. Regardless, if ONE room is like that (especially a "suite"), I have to think others are like that as well. It is too bad though. The views are great and they actually have windows that open... big shocker for the city in general!
truthful ||| negative ||| The lobby of the Homewood is right down the hall from the kitchen and dining room(actually more of a grade school cafeteria type set up). The odors from the kitchen were disgusting, and indeed reminded my of that of a institutional kitchen(I.e. hospital). The free breakfast and free dinner were not at all palatable. I suppose that if you are traveling with a young family as many guests were, that makes this hotel a good value. But i would not stay here again.
truthful ||| positive ||| My husband, teenage son and myself stayed at this hotel last August. We were transferred there by tour operator who had sent us to a terrible hotel on the other side of Chicago. When I complained I asked for us to be transferred to the Sheraton which they arranged for us. I have stayed at many hotels in my life and this has been the best. The room (although I know it was not the largest) was beautiful and very clean with every amenity you needed. It also had superb views of the river and the lake. The entrance hall to the Sheraton is so imressive as is the leisure centre. In fact all areas are fantastic. The best thing about the hotel though was the staff! From the bellboy, to the receptionists, the dining staff to the concierge - each one was courteous and so very helpful. One of the conciergies spent fifteen minutes on the phone trying to locate a specific pair of trainers for my son! Above and beyond the call I would say! I cannot reccomend this hotel highly enough. The breakfast buffet cost about 10 dollars each but you could eat as much as you like and take as long as you like which we did!! It lasted us all day. If you have the choice of where to stay I think you will enjoy the Sheraton! We did!!
fake ||| negative ||| This hotel was full of drunks. The lobby was full of crowds at night and the bar was way too busy. There were people stumbling all over the hotel at all hours of the night, yelling in the hallways, making lots of noise. The staff had little to say. I wasn't aware of the noise level when I booked the room and when I threatened to make other reservations, the people in the lobby had nothing to say. We asked for a water view and got a city view. Again, the people at the front desk weren't accomodating at all. Overall, we had a horrible experience.
fake ||| positive ||| My stay at the Hotel Monaco recently was fantastic. We got a very reasonable price for our stay (especially since we were a AAA member), and there was plenty of perks to utilize; in-room spa treatments and an evening wine wine hour to name a few. Another thing that the kids really enjoyed was that, upon request, the staff brought us a fish in its own fishbowl for our room. How cool is that! The staff were all very helpful and friendly and our stay was very enjoyable. I would definitely recommend the Hotel Monaco to anyone in the downtown Chicago area.
truthful ||| positive ||| Stayed there three nights from 4/17/09 through 4/20/09. Chechecked in about 9:15 AM. Had to wait about 15 minutes because of specials requests I had made. Room was quiet, and comfortable. Marked improvement over last time I stayed there (about 5 years ago). The renovations were great, and maintained the old time charm of the hotel.
fake ||| negative ||| I stayed at the Hilton Chicago during a recent business trip. I elected to go with their Executive Suite upgrade. All I can say is, "What upgrade?" It's barely anything above what you get normally. And for the price I paid, I was expecting much better acommodations. Because I arrived around 10:30 the night I checked in (delayed flight) I did not get the concierge service as it stops at 10. I find that an odd hour to stop a service like that especially when you're expecting a guest who has not checked in yet. Beyond that, it took them 20 minutes to get me into my room. First it was a room mix-up, then it was a missing key card. That was extremely frustrating as I was tired and I had a presentation to give the next morning. Speaking of the next morning, the complimentary breakfast was a joke. When I just want a stale muffin and a bad cup of coffee for breakfast, I'll stay at the next Super 8 I find. And the wireless internet in the room that you actually have to pay for on top of everything else was a horrible connection with angonizingly slow speed. I will not be staying at the Hilton Chicago every again even though I frequent Chicago. This tops out my list of horrible hotel experiences by a long shot.
truthful ||| negative ||| " Barely Average Hotel at Premium Price" This hotel has a beautiful lobby but fails to fails to maintain its standards beyond the lobby. I have stayed in the Conrad in Dublin, Ireland and in HongKong both of which I loved. I was looking forward to staying at this hotel. I was extremely disappointed. I am very surprised that this hotel is allowed to carry the Conrad name. Pros: Elegant lobby nicely decorated with fresh flowers Location: Located in the Heart of Chicago Disappointments - Stained and worn out carpet in hallway - Room was small - Phone and lightbulb in room were broken - Breakfast was $60 for two people, service was slow and impolite - Hotel rationed soaps and shampoo, one bar of soap to share and one bottle of shampoo which was not replaced for two days, I felt like I was staying at a budget hotel. and to cap off my stay the hotel made a billing error which took three months and more effort than it was worth to correct. I would not stay at this hotel again, It just is not worth the premium price they charge.
fake ||| positive ||| At the InterContinental Chicago, you pay for more than a room. You pay for an experience. Let me elaborate. I was a bit reluctant to pay a premium for location and amenities. Like any novice traveller to Chicago, I saw the mass glut of cheap accommodations out in the suburbs, and those were originally what I set my sights on. Price is a powerful signal, and the sheer discount of those options drew me in. But after doing a bit of research, I realised that distance does have its costs. The price of transit in the Chicagoland area isn't free. And it's far from what I'm used to. Car use is price prohibitive. (I knew that originally, which is why I wasn't going to drive.) But the sting of using the automobile (parking, congestion, toll roads, etc.) gets shoved off onto taxi fares and auto rental. So, I ultimately had to end up looking for a place well connected with mass transit. But mass transit has its costs too, which meant that staying at a focal point downtown had its advantages. That's what originally drew me to InterContinental. But InterContinental is much more than the right room at the right place. The decor of the rooms and the amenities available to the guest are unsurpassable. I was travelling on international business, so the ease with which I could transact in foreign currency was a draw. (They had a currency exchange right there on the premises.) And the fact that massages, dry cleaning, and event planning were available in-house was a huge plus. My work gets me tied up in knots. It also leaves little time for doing chores. So the ability to grab a massage while my suits were being finished was a relief for me. But, on top of all that, the event planning was what put InterContinental over the top. Being able to coordinate a comprehensive tour of Chicago while completing my business and managing my personal life was a weight off my shoulders--and something I won't forget. In the end, if you're a newcomer to Chicago staying in a time-crunch, the InterContinental is for you. The pricetag of rooming downtown can seem prohibitive, but when you factor in the convenience and savings in marginal costs, it's nothing in the end. And the InterContinental is not only price-competitive with the other downtown options, it also makes staying downtown the convenience and thrill it should be.
fake ||| positive ||| Staying at the Hard Rock Hotel is one of best bets you can ever make while traveling. I stayed at this one the last time I visited Chicago and it was just wonderful. The rooms are amazing and the one I stayed in had a great view of the city. The beds were comfortable and everything was really clean and neat, the Wi-Fi was really fast and always available and I liked the fact that you could get a guitar at the front desk and jam in your own room with a pair of headphones. I didn't have the chance to use the spa, but I could tell it was really nice and relaxing. I did go to the Base Bar a couple times for a drink, very cool atmosphere and great drinks to choose from. The Rock shop was pretty cool too and I bought a bunch of shirts to bring back home to family and friends. Overall I think this is one of the coolest hotels you could stay in, the experience is definitely different than any other hotel I've stayed in.
truthful ||| negative ||| where do I start. The GM was a nice guy for handling the incident I had. Anthony -the Concierge - set me up with a massage when the reservation at the spa i requested was unavailable. Anthony said he knew this spa and it was nice. He set me up and quoted me a price of $125, When i got to the spa (which was actually a seedy nail and hair salon) i saw on the front window that a massage for an hour was $100 with 20% off. At the end of the massage I gave the lady $100 and said thanks you can keep the change, She insisted that I got "A Hotel Rate" because Anthony set me up. She called Anthony and confirmed the rate then told me she had to go and pay Anthony the difference - $45. She then offered me a ride to the hotel since she was going there which I declined. In short - shady dealings with this place. I was quite taken back. The GM Selman comp'd me a night but , I felt swindled big time. Stay somewhere else. The concierge has something going on...
fake ||| positive ||| We really enjoyed our stay at the Palmer House Hilton. We were in Chicago for a weekend stay, and wanted something close to State Street, and convenient to the theatre district and the museums, and Michigan Ave. shopping. This is a grand old hotel, with just about every amenity one could wish for. The lobby is fabulous, and the hotel also has some nice restaurants . Our room had a nice king sized bed, and was pretty cozy. Hotel employees were very nice and helpful to us. I would definitely recommend this hotel if you want a "grand hotel" type experience at a reasonable price for the many amenities and in a very convenient spot in downtown Chicago. You will definitely feel special.
truthful ||| negative ||| We had a reservation for 3 rooms with 5 adults and 2 kids, got only 2 rooms on arrival. 2 of the corner rooms with an extra room. During the night it was very cold and we were not able to change the a.c., even though we switched it off, it went on cooling, strange! At night it was very loud from the street. In the morning they uploaded something infront of our window and I stood vertically in the bed, not what you need, if you only spend 1 night in a hotel. We came here a few years ago and had it better in mind. The area is in good walking distance to all famous shopping places, very good. Clean and fancy. Sorry, but next time we`ll be looking for a more quiet hotel in Chicago.
truthful ||| negative ||| I had requested a quiet room several weeks in advance, yet was given a room facing the street from which I could hear traffic noise. I asked to be moved and was told that nothing was available until the next day. The next morning, prior to being moved to a quiet room, the toilet in my original room overflowed creating a large unsanitary flood. About an hour later I was moved to a room which did not face the street. The room was quiet but smaller and darker. The mattresses in each room were very firm, I would even say hard. I asked if any softer mattresses were available and was told that the mattresses were all the same. At checkout I tried to give the hotel a form of payment that differed from the card the room was reserved under, and this process was still not done correctly after 10 minutes, which seemed longer because the van to the airport was waiting right outside, with other passengers. (The cost was not correctly charged until almost a week later.) As recompense for the noise, flood, etc., the hotel offered exactly nothing. Not a great stay.
